Name,Purpose,Cost Per Item (USD),Quantity,Total (USD),Link,Distributor
"jumper wires m-f","to connect the rest together",1.29,1,1.29,"https://www.aliexpress.com/item/1005004631908016.html","aliexpress"
"jumper wires m-m","to connect everything together",1.03,1,1.03,"https://www.aliexpress.com/item/1005004631908016.html","aliexpress"
"battery","to power this project",14.60,2,29.20,"https://www.laskakit.cz/en/geb-li-ion-baterie-2x18650-1s2p-7-4v-3200mah/","laskakit"
"ESP32 with battery connector","brain of the whole project",8.00,2,16.00,"https://www.aliexpress.com/item/1005010143637273.html","aliexpress"
"40 pin strip 2.54mm","to reuse esp32 without having to desolder",2.50,1,2.50,"https://www.aliexpress.com/item/1005006181839356.html","aliexpress"
"M3x20mm screw","to hold case together",1.00,1,1.00,"https://www.aliexpress.com/item/1005005070119421.html","aliexpress"
"Insulating tape","to tape together gnd cables",3.33,1,3.33,"https://www.alza.cz/hobby/yato-paska-izolacni-250-19-mm20-m-cerna-d7772288.htm","alza"
"USB-A to USB-C cable","to upload firmware to ESP32s",11.15,1,11.15,"https://www.alza.cz/alzapower-core-usb-c-3-1-gen1?dq=5472812","alza"
"Solder – Sn60Pb40 SW26 CYNEL (100 g)","something to solder with",12.77,1,12.77,"https://allegro.cz/produkt/cin-cynel-0-7-mm-100-g-99e5d961-6ab8-4671-8a9c-d044c9a1d741","allegro"
"SMD button 6×6×8 mm","to run the device on and off",0.10,2,0.20,"https://www.laskakit.cz/en/tlacitko-smd-6x6x8mm/","laskakit"
"LED diode 5 mm","to see status",0.10,3,0.30,"https://www.laskakit.cz/en/led-dioda-5mm/","laskakit"
"Resistors set","so LEDS dont blow up",14.57,1,14.57,"https://www.laskakit.cz/en/laskkit-sada-1000-rezistoru--34-hodnoty-1r-10m--20-az-50-kusu-na-jednu-hodnotu--0-25w-5-/","laskakit"
"IR receiver","so it can receive IR light",0.29,1,0.29,"https://www.laskakit.cz/ir-prijimac-vs1838b/","laskakit"
"IR transmitter","so it can make IR light",0.88,1,0.88,"https://www.laskakit.cz/en/ir-infracerveny-vysilac-38khz-modul/","laskakit"
